block,latitude,longitude
194,45.985482,-112.541251
195,45.98534,-112.541251
196,45.985208,-112.541251
197,45.985071,-112.541251
198,45.984924,-112.541251
199,45.98479,-112.541251
200,45.984654,-112.541251
201,45.984514,-112.541251
202,45.984379,-112.541251
203,45.984212,-112.541251
204,45.984079,-112.541251
205,45.983937,-112.541251
206,45.9838,-112.541251
207,45.983664,-112.541251
208,45.983526,-112.541251
209,45.983526,-112.541403
210,45.983664,-112.541403
211,45.9838,-112.541403
212,45.983937,-112.541403
213,45.984079,-112.541403
214,45.984212,-112.541403
215,45.984379,-112.541403
216,45.984514,-112.541403
217,45.984654,-112.541403
218,45.98479,-112.541403
219,45.984924,-112.541403
220,45.985071,-112.541403
221,45.985208,-112.541403
222,45.98534,-112.541403
223,45.985482,-112.541403
224,45.985611,-112.541403
225,45.985611,-112.541564
226,45.985482,-112.541564
227,45.98534,-112.541564
228,45.985208,-112.541564
229,45.985071,-112.541564
230,45.984924,-112.541564
231,45.98479,-112.541564
232,45.984654,-112.541564
233,45.984514,-112.541564
234,45.984379,-112.541564
235,45.984212,-112.541564
236,45.984079,-112.541564
237,45.983937,-112.541564
238,45.9838,-112.541564
239,45.983664,-112.541564
240,45.983526,-112.541564
241,45.983526,-112.541761
242,45.983664,-112.541761
243,45.9838,-112.541761
244,45.983937,-112.541761
245,45.984079,-112.541761
246,45.984212,-112.541761
247,45.984379,-112.541761
248,45.984514,-112.541761
249,45.984654,-112.541761
250,45.98479,-112.541761
251,45.984924,-112.541761
252,45.985071,-112.541761
253,45.985208,-112.541761
254,45.98534,-112.541761
255,45.985482,-112.541761
256,45.985611,-112.541761
257,45.985611,-112.541905
258,45.985482,-112.541905
259,45.98534,-112.541905
260,45.985208,-112.541905
261,45.985071,-112.541905
262,45.984924,-112.541905
263,45.98479,-112.541905
264,45.984654,-112.541905
265,45.984514,-112.541905
266,45.984379,-112.541905
267,45.984212,-112.541905
268,45.984079,-112.541905
269,45.983937,-112.541905
270,45.9838,-112.541905
271,45.983664,-112.541905
272,45.983526,-112.541905
273,45.983526,-112.542077
274,45.983664,-112.542077
275,45.9838,-112.542077
276,45.983937,-112.542077
277,45.984079,-112.542077
278,45.984212,-112.542077
279,45.984379,-112.542077
280,45.984514,-112.542077
281,45.984654,-112.542077
282,45.98479,-112.542077
283,45.984924,-112.542077
284,45.985071,-112.542077
285,45.985208,-112.542077
286,45.98534,-112.542077
287,45.985482,-112.542077
288,45.985611,-112.542077
289,45.985611,-112.542225
290,45.985482,-112.542225
291,45.98534,-112.542225
292,45.985208,-112.542225
293,45.985071,-112.542225
294,45.984924,-112.542225
295,45.98479,-112.542225
296,45.984654,-112.542225
297,45.984514,-112.542225
298,45.984379,-112.542225
299,45.984212,-112.542225
300,45.984079,-112.542225
301,45.983937,-112.542225
302,45.9838,-112.542225
303,45.983664,-112.542225
304,45.983526,-112.542225
305,45.983526,-112.542383
306,45.983664,-112.542383
307,45.9838,-112.542383
308,45.983937,-112.542383
309,45.984079,-112.542383
310,45.984212,-112.542383
311,45.984379,-112.542383
312,45.984514,-112.542383
313,45.984654,-112.542383
314,45.98479,-112.542383
315,45.984924,-112.542383
316,45.985071,-112.542383
317,45.985208,-112.542383
318,45.98534,-112.542383
319,45.985482,-112.542383
320,45.985611,-112.542383
321,45.985611,-112.542593
322,45.985482,-112.542593
323,45.98534,-112.542593
324,45.985208,-112.542593
325,45.985071,-112.542593
326,45.984924,-112.542593
327,45.98479,-112.542593
328,45.984654,-112.542593
329,45.984514,-112.542593
330,45.984379,-112.542593
331,45.984212,-112.542593
332,45.984079,-112.542593
333,45.983937,-112.542593
334,45.9838,-112.542593
335,45.983664,-112.542593
336,45.983526,-112.542593
337,45.983526,-112.542744
338,45.983664,-112.542744
339,45.9838,-112.542744
340,45.983937,-112.542744
341,45.984079,-112.542744
342,45.984212,-112.542744
343,45.984379,-112.542744
344,45.984514,-112.542744
345,45.984654,-112.542744
346,45.98479,-112.542744
347,45.984924,-112.542744
348,45.985071,-112.542744
349,45.985208,-112.542744
350,45.98534,-112.542744
351,45.985482,-112.542744
352,45.985611,-112.542744
353,45.985611,-112.542903
354,45.985482,-112.542903
355,45.98534,-112.542903
356,45.985208,-112.542903
357,45.985071,-112.542903
358,45.984924,-112.542903
359,45.98479,-112.542903
360,45.984654,-112.542903
361,45.984514,-112.542903
362,45.984379,-112.542903
363,45.984212,-112.542903
364,45.984079,-112.542903
365,45.983937,-112.542903
366,45.9838,-112.542903
367,45.983664,-112.542903
368,45.983526,-112.542903
369,45.983526,-112.543064
370,45.983664,-112.543064
371,45.9838,-112.543064
372,45.983937,-112.543064
373,45.984079,-112.543064
374,45.984212,-112.543064
375,45.984379,-112.543064
376,45.984514,-112.543064
377,45.984654,-112.543064
378,45.98479,-112.543064
379,45.984924,-112.543064
380,45.985071,-112.543064
381,45.985208,-112.543064
382,45.98534,-112.543064
383,45.985482,-112.543064
384,45.985611,-112.543064
385,45.985611,-112.543221
386,45.985482,-112.543221
387,45.98534,-112.543221
388,45.985208,-112.543221
389,45.985071,-112.543221
390,45.984924,-112.543221
391,45.98479,-112.543221
392,45.984654,-112.543221
393,45.984514,-112.543221
394,45.984379,-112.543221
395,45.984212,-112.543221
396,45.984079,-112.543221
397,45.983937,-112.543221
398,45.9838,-112.543221
399,45.983664,-112.543221
400,45.983526,-112.543221
401,45.985753,-112.543209
402,45.985766,-112.543065
403,45.985773,-112.542898
404,45.98574,-112.542742
405,45.985741,-112.5426
406,45.985768,-112.542392
407,45.985757,-112.542227
408,45.98576,-112.54207
409,45.985752,-112.5419
410,45.985753,-112.541753
411,45.985752,-112.541558
412,45.985754,-112.541405
413,45.985754,-112.541247
414,45.985754,-112.54109
415,45.985749,-112.540925
416,45.985751,-112.540734
417,45.985752,-112.540573
418,45.985755,-112.540392
419,45.985752,-112.540259
420,45.985754,-112.540101
421,45.985755,-112.539902
422,45.985751,-112.539742
423,45.98575,-112.539589
424,45.98575,-112.539431
425,45.985749,-112.539278
426,45.98336,-112.543221
427,45.98336,-112.543064
428,45.98336,-112.542903
429,45.98336,-112.542744
430,45.98336,-112.542593
431,45.98336,-112.542383
432,45.98336,-112.542225
433,45.98336,-112.542077
434,45.98336,-112.541905
435,45.98336,-112.541761
436,45.98336,-112.541564
437,45.98336,-112.541403
438,45.98336,-112.541251
439,45.98336,-112.541094
440,45.98336,-112.540926
441,45.983381,-112.540727
442,45.983375,-112.540567
443,45.983374,-112.540416
444,45.983372,-112.540252
445,45.983371,-112.540097
446,45.98336,-112.539908
447,45.98336,-112.53975
448,45.98336,-112.539592
449,45.98336,-112.539436
450,45.98336,-112.539276
451,45.983226,-112.539276
452,45.983226,-112.539436
453,45.983226,-112.539592
454,45.983226,-112.53975
455,45.983226,-112.539908
456,45.983234,-112.540097
457,45.983234,-112.540256
458,45.98324,-112.540415
459,45.983247,-112.540571
460,45.983242,-112.540723
461,45.983226,-112.540926
462,45.983226,-112.541094
463,45.983226,-112.541251
464,45.983226,-112.541403
465,45.983226,-112.541564
466,45.983226,-112.541761
467,45.983226,-112.541905
468,45.983226,-112.542077
469,45.983226,-112.542225
470,45.983226,-112.542383
471,45.983226,-112.542593
472,45.983226,-112.542744
473,45.983226,-112.542903
474,45.983226,-112.543064
475,45.983226,-112.543221
476,45.983086,-112.543221
477,45.983086,-112.543064
478,45.983086,-112.542903
479,45.983086,-112.542744
480,45.983086,-112.542593
481,45.983086,-112.542383
482,45.983086,-112.542225
483,45.983086,-112.542077
484,45.983086,-112.541905
485,45.983086,-112.541761
486,45.983086,-112.541564
487,45.983086,-112.541403
488,45.983086,-112.541251
489,45.983091,-112.541081
490,45.983086,-112.540926
491,45.983086,-112.540723
492,45.983114,-112.540572
493,45.983141,-112.540421
494,45.983139,-112.540257
495,45.983086,-112.540102
496,45.983086,-112.539908
497,45.983086,-112.53975
498,45.983094,-112.539591
499,45.983104,-112.539439
500,45.983117,-112.53928
501,45.983027,-112.540259
502,45.983026,-112.540408
503,45.982964,-112.540571
504,45.982968,-112.540725
505,45.982958,-112.540924
506,45.982948,-112.541094
507,45.982952,-112.541238
508,45.982948,-112.541403
509,45.982948,-112.541564
510,45.982948,-112.541761
511,45.982948,-112.541905
512,45.982948,-112.542077
513,45.982948,-112.542225
514,45.982948,-112.542383
515,45.982948,-112.542593
516,45.982948,-112.542744
517,45.982948,-112.542903
518,45.982948,-112.543064
519,45.982948,-112.543221
520,45.982813,-112.543221
521,45.982813,-112.543064
522,45.982813,-112.542903
523,45.982813,-112.542744
524,45.982813,-112.542593
525,45.982813,-112.542383
526,45.982813,-112.542225
527,45.982813,-112.542077
528,45.982813,-112.541905
529,45.982813,-112.541754
530,45.982813,-112.541551
531,45.982813,-112.541403
532,45.982837,-112.541238
533,45.982432,-112.542593
534,45.982674,-112.541755
535,45.982673,-112.541905
536,45.982674,-112.542077
537,45.982658,-112.542225
538,45.982658,-112.542383
539,45.982658,-112.542593
540,45.982658,-112.542744
541,45.982658,-112.542903
542,45.982658,-112.543064
543,45.982658,-112.543221
544,45.982512,-112.543221
545,45.982512,-112.543064
546,45.982512,-112.542903
547,45.982512,-112.542744
548,45.982512,-112.542593
549,45.982512,-112.542383
550,45.982512,-112.542225
551,45.982558,-112.542062
552,45.982434,-112.542377
553,45.982402,-112.542593
554,45.982402,-112.542744
555,45.982402,-112.542903
556,45.982402,-112.543064
557,45.982402,-112.543221
558,45.982305,-112.543205
559,45.982301,-112.543068
560,45.982299,-112.542899
561,45.982324,-112.542744
562,45.982377,-112.542589
