Block,direction,latitude,longitude,
65,SE,45.98373999,-112.539208,
65,SW,45.98373999,-112.539344,
65,NE,45.98386001,-112.539208,
65,NW,45.98386001,-112.539344,
66,SE,45.98387699,-112.539208,
66,SW,45.98387699,-112.539344,
66,NE,45.98399701,-112.539208,
66,NW,45.98399701,-112.539344,
67,SE,45.98401899,-112.539208,
67,SW,45.98401899,-112.539344,
67,NE,45.98413901,-112.539208,
67,NW,45.98413901,-112.539344,
68,SE,45.98415199,-112.539208,
68,SW,45.98415199,-112.539344,
68,NE,45.98427201,-112.539208,
68,NW,45.98427201,-112.539344,
69,SE,45.984317,-112.539224,
69,SW,45.98431899,-112.539344,
69,NE,45.98443901,-112.539208,
69,NW,45.98443901,-112.539344,
70,SE,45.98445399,-112.539208,
70,SW,45.98445399,-112.539344,
70,NE,45.98457401,-112.539208,
70,NW,45.98457401,-112.539344,
71,SE,45.98459399,-112.539208,
71,SW,45.98459399,-112.539344,
71,NE,45.98471401,-112.539208,
71,NW,45.98471401,-112.539344,
72,SE,45.98472999,-112.539208,
72,SW,45.98472999,-112.539344,
72,NE,45.98485001,-112.539208,
72,NW,45.98485001,-112.539344,
73,SE,45.98360399,-112.540655,
73,SW,45.98360399,-112.540791,
73,NE,45.98372401,-112.540655,
73,NW,45.98372401,-112.540791,
74,SE,45.98360399,-112.540506,
74,SW,45.98360399,-112.540642,
74,NE,45.98372401,-112.540506,
74,NW,45.98372401,-112.540642,
75,SE,45.98360399,-112.540355,
75,SW,45.98360399,-112.540491,
75,NE,45.98372401,-112.540355,
75,NW,45.98372401,-112.540491,
76,SE,45.98360399,-112.540189,
76,SW,45.98360399,-112.540325,
76,NE,45.98372401,-112.540189,
76,NW,45.98372401,-112.540325,
77,SE,45.98360399,-112.540034,
77,SW,45.98360399,-112.54017,
77,NE,45.98372401,-112.540034,
77,NW,45.98372401,-112.54017,
78,SE,45.98360399,-112.53984,
78,SW,45.98360399,-112.539976,
78,NE,45.98372401,-112.53984,
78,NW,45.98372401,-112.539976,
79,SE,45.98360399,-112.539682,
79,SW,45.98360399,-112.539818,
79,NE,45.98372401,-112.539682,
79,NW,45.98372401,-112.539818,
80,SE,45.98360399,-112.539524,
80,SW,45.98360399,-112.53966,
80,NE,45.98372401,-112.539524,
80,NW,45.98372401,-112.53966,
81,SE,45.98360399,-112.539368,
81,SW,45.98360399,-112.539504,
81,NE,45.98372401,-112.539368,
81,NW,45.98372401,-112.539504,
82,SE,45.98360399,-112.539208,
82,SW,45.98360399,-112.539344,
82,NE,45.98372401,-112.539208,
82,NW,45.98372401,-112.539344,
83,SE,45.98346599,-112.540655,
83,SW,45.98346599,-112.540791,
83,NE,45.98358601,-112.540655,
83,NW,45.98358601,-112.540791,
84,SE,45.98346599,-112.540506,
84,SW,45.98346599,-112.540642,
84,NE,45.98358601,-112.540506,
84,NW,45.98358601,-112.540642,
85,SE,45.98346599,-112.540355,
85,SW,45.98346599,-112.540491,
85,NE,45.98358601,-112.540355,
85,NW,45.98358601,-112.540491,
86,SE,45.98346599,-112.540189,
86,SW,45.98346599,-112.540325,
86,NE,45.98358601,-112.540189,
86,NW,45.98358601,-112.540325,
87,SE,45.98346599,-112.540034,
87,SW,45.98346599,-112.54017,
87,NE,45.98358601,-112.540034,
87,NW,45.98358601,-112.54017,
88,SE,45.98346599,-112.53984,
88,SW,45.98346599,-112.539976,
88,NE,45.98358601,-112.53984,
88,NW,45.98358601,-112.539976,
89,SE,45.98346599,-112.539682,
89,SW,45.98346599,-112.539818,
89,NE,45.98358601,-112.539682,
89,NW,45.98358601,-112.539818,
90,SE,45.98346599,-112.539524,
90,SW,45.98346599,-112.53966,
90,NE,45.98358601,-112.539524,
90,NW,45.98358601,-112.53966,
91,SE,45.98346599,-112.539368,
91,SW,45.98346599,-112.539504,
91,NE,45.98358601,-112.539368,
91,NW,45.98358601,-112.539504,
92,SE,45.98346599,-112.539208,
92,SW,45.98346599,-112.539344,
92,NE,45.98358601,-112.539208,
92,NW,45.98358601,-112.539344,
93,SE,0,0,Review this
93,SW,0,0,Review this
93,NE,0,0,Review this
93,NW,0,0,Review this
94,SE,0,0,Review this
94,SW,0,0,Review this
94,NE,0,0,Review this
94,NW,0,0,Review this
95,SE,0,0,Review this
95,SW,0,0,Review this
95,NE,0,0,Review this
95,NW,0,0,Review this
96,SE,0,0,Review this
96,SW,0,0,Review this
96,NE,0,0,Review this
96,NW,0,0,Review this
97,SE,0,0,Review this
97,SW,0,0,Review this
97,NE,0,0,Review this
97,NW,0,0,Review this
98,SE,0,0,Review this
98,SW,0,0,Review this
98,NE,0,0,Review this
98,NW,0,0,Review this
99,SE,0,0,Review this
99,SW,0,0,Review this
99,NE,0,0,Review this
99,NW,0,0,Review this
100,SE,0,0,Review this
100,SW,0,0,Review this
100,NE,0,0,Review this
100,NW,0,0,Review this
101,SE,45.98486399,-112.540655,
101,SW,45.98486399,-112.540791,
101,NE,45.98498401,-112.540655,
101,NW,45.98498401,-112.540791,
102,SE,45.98486399,-112.540506,
102,SW,45.98486399,-112.540642,
102,NE,45.98498401,-112.540506,
102,NW,45.98498401,-112.540642,
103,SE,45.98486399,-112.540355,
103,SW,45.98486399,-112.540491,
103,NE,45.98498401,-112.540355,
103,NW,45.98498401,-112.540491,
104,SE,45.98486399,-112.540189,
104,SW,45.98486399,-112.540325,
104,NE,45.98498401,-112.540189,
104,NW,45.98498401,-112.540325,
105,SE,45.98486399,-112.540034,
105,SW,45.98486399,-112.54017,
105,NE,45.98498401,-112.540034,
105,NW,45.98498401,-112.54017,
106,SE,45.98486399,-112.53984,
106,SW,45.98486399,-112.539976,
106,NE,45.98498401,-112.53984,
106,NW,45.98498401,-112.539976,
107,SE,45.98486399,-112.539682,
107,SW,45.98486399,-112.539818,
107,NE,45.98498401,-112.539682,
107,NW,45.98498401,-112.539818,
108,SE,45.98486399,-112.539524,
108,SW,45.98486399,-112.53966,
108,NE,45.98498401,-112.539524,
108,NW,45.98498401,-112.53966,
109,SE,45.98486399,-112.539368,
109,SW,45.98486399,-112.539504,
109,NE,45.98498401,-112.539368,
109,NW,45.98498401,-112.539504,
110,SE,45.98486399,-112.539208,
110,SW,45.98486399,-112.539344,
110,NE,45.98498401,-112.539208,
110,NW,45.98498401,-112.539344,
111,SE,45.98501099,-112.540655,
111,SW,45.98501099,-112.540791,
111,NE,45.98513101,-112.540655,
111,NW,45.98513101,-112.540791,
