Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
65,NE,45.98386001,-112.539208,,X,
65,NW,45.98386001,-112.539344,,X,
66,SE,45.98387699,-112.539208,,X,
66,SW,45.98387699,-112.539344,,X,
66,NE,45.98399701,-112.539208,,X,
66,NW,45.98399701,-112.539344,,X,
67,SE,45.98401899,-112.539208,,X,
67,SW,45.98401899,-112.539344,,X,
67,NE,45.98413901,-112.539208,,X,
67,NW,45.98413901,-112.539344,,X,
68,SE,45.98415199,-112.539208,,X,
68,SW,45.98415199,-112.539344,,X,
68,NE,45.98427201,-112.539208,,X,
68,NW,45.98427201,-112.539344,,X,
69,SE,45.984317,-112.539224,,,
69,SW,45.98431899,-112.539344,,X,
69,NE,45.98443901,-112.539208,,X,
69,NW,45.98443901,-112.539344,,X,
70,SE,45.98445399,-112.539208,,X,
70,SW,45.98445399,-112.539344,,X,
70,NE,45.98457401,-112.539208,,X,
70,NW,45.98457401,-112.539344,,X,
71,SE,45.98459399,-112.539208,,X,
71,SW,45.98459399,-112.539344,,X,
71,NE,45.98471401,-112.539208,,X,
71,NW,45.98471401,-112.539344,,X,
72,SE,45.98472999,-112.539208,,X,
72,SW,45.98472999,-112.539344,,X,
72,NE,45.98485001,-112.539208,,X,
72,NW,45.98485001,-112.539344,,X,
73,SE,45.98360399,-112.540655,,X,
73,SW,45.98360399,-112.540791,,X,
73,NE,45.98372401,-112.540655,,X,
73,NW,45.98372401,-112.540791,,X,
74,SE,45.98360399,-112.540506,,X,
74,SW,45.98360399,-112.540642,,X,
74,NE,45.98372401,-112.540506,,X,
74,NW,45.98372401,-112.540642,,X,
75,SE,45.98360399,-112.540355,,X,
75,SW,45.98360399,-112.540491,,X,
75,NE,45.98372401,-112.540355,,X,
75,NW,45.98372401,-112.540491,,X,
76,SE,45.98360399,-112.540189,,X,
76,SW,45.98360399,-112.540325,,X,
76,NE,45.98372401,-112.540189,,X,
76,NW,45.98372401,-112.540325,,X,
77,SE,45.98360399,-112.540034,,X,
77,SW,45.98360399,-112.54017,,X,
77,NE,45.98372401,-112.540034,,X,
77,NW,45.98372401,-112.54017,,X,
78,SE,45.98360399,-112.53984,,X,
78,SW,45.98360399,-112.539976,,X,
78,NE,45.98372401,-112.53984,,X,
78,NW,45.98372401,-112.539976,,X,
79,SE,45.98360399,-112.539682,,X,
79,SW,45.98360399,-112.539818,,X,
79,NE,45.98372401,-112.539682,,X,
79,NW,45.98372401,-112.539818,,X,
80,SE,45.98360399,-112.539524,,X,
80,SW,45.98360399,-112.53966,,X,
80,NE,45.98372401,-112.539524,,X,
80,NW,45.98372401,-112.53966,,X,
81,SE,45.98360399,-112.539368,,X,
81,SW,45.98360399,-112.539504,,X,
81,NE,45.98372401,-112.539368,,X,
