block,SE,SE,SW,SW,NE,NE,NW,NW
172,45.98401899,-112.540858,45.98401899,-112.540994,45.98413901,-112.540858,45.98413901,-112.540994
173,45.98387699,-112.540858,45.98387699,-112.540994,45.98399701,-112.540858,45.98399701,-112.540994
174,45.98373999,-112.540858,45.98373999,-112.540994,45.98386001,-112.540858,45.98386001,-112.540994
175,45.98360399,-112.540858,45.98360399,-112.540994,45.98372401,-112.540858,45.98372401,-112.540994
176,45.98346599,-112.540858,45.98346599,-112.540994,45.98358601,-112.540858,45.98358601,-112.540994
177,45.98346599,-112.541026,45.98346599,-112.541162,45.98358601,-112.541026,45.98358601,-112.541162
178,45.98360399,-112.541026,45.98360399,-112.541162,45.98372401,-112.541026,45.98372401,-112.541162
179,45.98373999,-112.541026,45.98373999,-112.541162,45.98386001,-112.541026,45.98386001,-112.541162
180,45.98387699,-112.541026,45.98387699,-112.541162,45.98399701,-112.541026,45.98399701,-112.541162
181,45.98401899,-112.541026,45.98401899,-112.541162,45.98413901,-112.541026,45.98413901,-112.541162
182,45.98415199,-112.541026,45.98415199,-112.541162,45.98427201,-112.541026,45.98427201,-112.541162
183,45.98431899,-112.541026,45.98431899,-112.541162,45.98443901,-112.541026,45.98443901,-112.541162
184,45.98445399,-112.541026,45.98445399,-112.541162,45.98457401,-112.541026,45.98457401,-112.541162
185,45.98459399,-112.541026,45.98459399,-112.541162,45.98471401,-112.541026,45.98471401,-112.541162
186,45.98472999,-112.541026,45.98472999,-112.541162,45.98485001,-112.541026,45.98485001,-112.541162
187,45.98486399,-112.541026,45.98486399,-112.541162,45.98498401,-112.541026,45.98498401,-112.541162
188,45.98501099,-112.541026,45.98501099,-112.541162,45.98513101,-112.541026,45.98513101,-112.541162
189,45.98514799,-112.541026,45.98514799,-112.541162,45.98526801,-112.541026,45.98526801,-112.541162
190,45.98527999,-112.541026,45.98527999,-112.541162,45.98540001,-112.541026,45.98540001,-112.541162
191,45.98542199,-112.541026,45.98542199,-112.541162,45.98554201,-112.541026,45.98554201,-112.541162
192,45.98555099,-112.541026,45.98555099,-112.541162,45.98567101,-112.541026,45.98567101,-112.541162
193,45.98555099,-112.541183,45.98555099,-112.541319,45.98567101,-112.541183,45.98567101,-112.541319
194,45.98542199,-112.541183,45.98542199,-112.541319,45.98554201,-112.541183,45.98554201,-112.541319
195,45.98527999,-112.541183,45.98527999,-112.541319,45.98540001,-112.541183,45.98540001,-112.541319
196,45.98514799,-112.541183,45.98514799,-112.541319,45.98526801,-112.541183,45.98526801,-112.541319
197,45.98501099,-112.541183,45.98501099,-112.541319,45.98513101,-112.541183,45.98513101,-112.541319
198,45.98486399,-112.541183,45.98486399,-112.541319,45.98498401,-112.541183,45.98498401,-112.541319
199,45.98472999,-112.541183,45.98472999,-112.541319,45.98485001,-112.541183,45.98485001,-112.541319
200,45.98459399,-112.541183,45.98459399,-112.541319,45.98471401,-112.541183,45.98471401,-112.541319
201,45.98445399,-112.541183,45.98445399,-112.541319,45.98457401,-112.541183,45.98457401,-112.541319
202,45.98431899,-112.541183,45.98431899,-112.541319,45.98443901,-112.541183,45.98443901,-112.541319
203,45.98415199,-112.541183,45.98415199,-112.541319,45.98427201,-112.541183,45.98427201,-112.541319
204,45.98401899,-112.541183,45.98401899,-112.541319,45.98413901,-112.541183,45.98413901,-112.541319
205,45.98387699,-112.541183,45.98387699,-112.541319,45.98399701,-112.541183,45.98399701,-112.541319
206,45.98373999,-112.541183,45.98373999,-112.541319,45.98386001,-112.541183,45.98386001,-112.541319
207,45.98360399,-112.541183,45.98360399,-112.541319,45.98372401,-112.541183,45.98372401,-112.541319
208,45.98346599,-112.541183,45.98346599,-112.541319,45.98358601,-112.541183,45.98358601,-112.541319
209,45.98346599,-112.541335,45.98346599,-112.541471,45.98358601,-112.541335,45.98358601,-112.541471
210,45.98360399,-112.541335,45.98360399,-112.541471,45.98372401,-112.541335,45.98372401,-112.541471
211,45.98373999,-112.541335,45.98373999,-112.541471,45.98386001,-112.541335,45.98386001,-112.541471
212,45.98387699,-112.541335,45.98387699,-112.541471,45.98399701,-112.541335,45.98399701,-112.541471
213,45.98401899,-112.541335,45.98401899,-112.541471,45.98413901,-112.541335,45.98413901,-112.541471
214,45.98415199,-112.541335,45.98415199,-112.541471,45.98427201,-112.541335,45.98427201,-112.541471
215,45.98431899,-112.541335,45.98431899,-112.541471,45.98443901,-112.541335,45.98443901,-112.541471
216,45.98445399,-112.541335,45.98445399,-112.541471,45.98457401,-112.541335,45.98457401,-112.541471
217,45.98459399,-112.541335,45.98459399,-112.541471,45.98471401,-112.541335,45.98471401,-112.541471
218,45.98472999,-112.541335,45.98472999,-112.541471,45.98485001,-112.541335,45.98485001,-112.541471
219,45.98486399,-112.541335,45.98486399,-112.541471,45.98498401,-112.541335,45.98498401,-112.541471
220,45.98501099,-112.541335,45.98501099,-112.541471,45.98513101,-112.541335,45.98513101,-112.541471
221,45.98514799,-112.541335,45.98514799,-112.541471,45.98526801,-112.541335,45.98526801,-112.541471
222,45.98527999,-112.541335,45.98527999,-112.541471,45.98540001,-112.541335,45.98540001,-112.541471
223,45.98542199,-112.541335,45.98542199,-112.541471,45.98554201,-112.541335,45.98554201,-112.541471
224,45.98555099,-112.541335,45.98555099,-112.541471,45.98567101,-112.541335,45.98567101,-112.541471
225,45.98555099,-112.541496,45.98555099,-112.541632,45.98567101,-112.541496,45.98567101,-112.541632
226,45.98542199,-112.541496,45.98542199,-112.541632,45.98554201,-112.541496,45.98554201,-112.541632
227,45.98527999,-112.541496,45.98527999,-112.541632,45.98540001,-112.541496,45.98540001,-112.541632
228,45.98514799,-112.541496,45.98514799,-112.541632,45.98526801,-112.541496,45.98526801,-112.541632
229,45.98501099,-112.541496,45.98501099,-112.541632,45.98513101,-112.541496,45.98513101,-112.541632
230,45.98486399,-112.541496,45.98486399,-112.541632,45.98498401,-112.541496,45.98498401,-112.541632
231,45.98472999,-112.541496,45.98472999,-112.541632,45.98485001,-112.541496,45.98485001,-112.541632
232,45.98459399,-112.541496,45.98459399,-112.541632,45.98471401,-112.541496,45.98471401,-112.541632
233,45.98445399,-112.541496,45.98445399,-112.541632,45.98457401,-112.541496,45.98457401,-112.541632
234,45.98431899,-112.541496,45.98431899,-112.541632,45.98443901,-112.541496,45.98443901,-112.541632
235,45.98415199,-112.541496,45.98415199,-112.541632,45.98427201,-112.541496,45.98427201,-112.541632
236,45.98401899,-112.541496,45.98401899,-112.541632,45.98413901,-112.541496,45.98413901,-112.541632
237,45.98387699,-112.541496,45.98387699,-112.541632,45.98399701,-112.541496,45.98399701,-112.541632
238,45.98373999,-112.541496,45.98373999,-112.541632,45.98386001,-112.541496,45.98386001,-112.541632
239,45.98360399,-112.541496,45.98360399,-112.541632,45.98372401,-112.541496,45.98372401,-112.541632
240,45.98346599,-112.541496,45.98346599,-112.541632,45.98358601,-112.541496,45.98358601,-112.541632
241,45.98346599,-112.541693,45.98346599,-112.541829,45.98358601,-112.541693,45.98358601,-112.541829
242,45.98360399,-112.541693,45.98360399,-112.541829,45.98372401,-112.541693,45.98372401,-112.541829
243,45.98373999,-112.541693,45.98373999,-112.541829,45.98386001,-112.541693,45.98386001,-112.541829
244,45.98387699,-112.541693,45.98387699,-112.541829,45.98399701,-112.541693,45.98399701,-112.541829
245,45.98401899,-112.541693,45.98401899,-112.541829,45.98413901,-112.541693,45.98413901,-112.541829
246,45.98415199,-112.541693,45.98415199,-112.541829,45.98427201,-112.541693,45.98427201,-112.541829
247,45.98431899,-112.541693,45.98431899,-112.541829,45.98443901,-112.541693,45.98443901,-112.541829
248,45.98445399,-112.541693,45.98445399,-112.541829,45.98457401,-112.541693,45.98457401,-112.541829
249,45.98459399,-112.541693,45.98459399,-112.541829,45.98471401,-112.541693,45.98471401,-112.541829
250,45.98472999,-112.541693,45.98472999,-112.541829,45.98485001,-112.541693,45.98485001,-112.541829
251,45.98486399,-112.541693,45.98486399,-112.541829,45.98498401,-112.541693,45.98498401,-112.541829
252,45.98501099,-112.541693,45.98501099,-112.541829,45.98513101,-112.541693,45.98513101,-112.541829
253,45.98514799,-112.541693,45.98514799,-112.541829,45.98526801,-112.541693,45.98526801,-112.541829
254,45.98527999,-112.541693,45.98527999,-112.541829,45.98540001,-112.541693,45.98540001,-112.541829
255,45.98542199,-112.541693,45.98542199,-112.541829,45.98554201,-112.541693,45.98554201,-112.541829
256,45.98555099,-112.541693,45.98555099,-112.541829,45.98567101,-112.541693,45.98567101,-112.541829
257,45.98555099,-112.541837,45.98555099,-112.541973,45.98567101,-112.541837,45.98567101,-112.541973
258,45.98542199,-112.541837,45.98542199,-112.541973,45.98554201,-112.541837,45.98554201,-112.541973
259,45.98527999,-112.541837,45.98527999,-112.541973,45.98540001,-112.541837,45.98540001,-112.541973
260,45.98514799,-112.541837,45.98514799,-112.541973,45.98526801,-112.541837,45.98526801,-112.541973
261,45.98501099,-112.541837,45.98501099,-112.541973,45.98513101,-112.541837,45.98513101,-112.541973
262,45.98486399,-112.541837,45.98486399,-112.541973,45.98498401,-112.541837,45.98498401,-112.541973
263,45.98472999,-112.541837,45.98472999,-112.541973,45.98485001,-112.541837,45.98485001,-112.541973
264,45.98459399,-112.541837,45.98459399,-112.541973,45.98471401,-112.541837,45.98471401,-112.541973
265,45.98445399,-112.541837,45.98445399,-112.541973,45.98457401,-112.541837,45.98457401,-112.541973
266,45.98431899,-112.541837,45.98431899,-112.541973,45.98443901,-112.541837,45.98443901,-112.541973
267,45.98415199,-112.541837,45.98415199,-112.541973,45.98427201,-112.541837,45.98427201,-112.541973
268,45.98401899,-112.541837,45.98401899,-112.541973,45.98413901,-112.541837,45.98413901,-112.541973
269,45.98387699,-112.541837,45.98387699,-112.541973,45.98399701,-112.541837,45.98399701,-112.541973
270,45.98373999,-112.541837,45.98373999,-112.541973,45.98386001,-112.541837,45.98386001,-112.541973
271,45.98360399,-112.541837,45.98360399,-112.541973,45.98372401,-112.541837,45.98372401,-112.541973
272,45.98346599,-112.541837,45.98346599,-112.541973,45.98358601,-112.541837,45.98358601,-112.541973
